0b5a737 was Christopher Clemente, 2 hours ago, message: Completed the spiral functionality
852127d was Christopher Clemente, 4 weeks ago, message: Added required blend trees and added 2d freeform cartesian trees. I still need to add the jump animation.
8a68636 was Christopher Clemente, 4 weeks ago, message: Added sprint
d56d345 was Christopher Clemente, 4 weeks ago, message: Walking forward animation syncs when moving forward
4e570f3 was Christopher Clemente, 4 weeks ago, message: Worked on animation blend trees and created movement script for the character
9f09fbb was Christopher Clemente, 5 weeks ago, message: Update JumpUpHigh.fbm.meta
f2d2204 was Christopher Clemente, 5 weeks ago, message: Initial Commit
2b76519 was Christopher Clemente, 6 weeks ago, message: Changed Priority on adversarial agents
cf113b2 was 98changl, 6 weeks ago, message: Update README.txt
111ad55 was 98changl, 6 weeks ago, message: Update README.txt
7bba064 was unknown, 6 weeks ago, message: <Added extra credit A-Star algorithm and Custom Agent implemented with A-Star>
a05eb64 was Christopher Clemente, 6 weeks ago, message: Added in different weight values and moved around adversarial agents so they werent blocking the regular agents.
0ed87f3 was 98changl, 6 weeks ago, message: Update README.txt
baaa71c was John Aceto, 6 weeks ago, message: Update README.txt
0fb3b5f was John Aceto, 6 weeks ago, message: Created adversarial agent.
67eee7b was John Aceto, 6 weeks ago, message: Added rigid body component to all agents including the prefab folder
a44c573 was John Aceto, 6 weeks ago, message: Changed camera controls to use shift instead of control. Changed comment in agent script.
3a11b53 was John Aceto, 6 weeks ago, message: Update README.md
18a2f1c was Luis Figueroa, 7 weeks ago, message: Added Dynamic Obstacles
a219bf8 was Luis Figueroa, 7 weeks ago, message: Added dynamic Obstacles. agent stopping distance set to 1.5
77cf786 was Christopher Clemente, 7 weeks ago, message: Update log.txt
b1c67c7 was Christopher Clemente, 7 weeks ago, message: Agent bug fixes, added more agents into the scene, and made a controllable obstacle.
acb603d was Christopher Clemente, 7 weeks ago, message: Added Agent Scripting
a4b16f5 was Christopher Clemente, 7 weeks ago, message: Update log.txt
d84bda6 was Race_Condition, 7 weeks ago, message: Expanded the scene, as well as added mazes, ramps, levels and a nav mesh.
82a90be was Christopher Clemente, 7 weeks ago, message: Added blank scene with a camera script to move/look around.
d0910e9 was Race_Condition, 7 weeks ago, message: Update README.md
8b5f1c8 was lfigil, 7 weeks ago, message: Update README.md
eb25b5f was 98changl, 8 weeks ago, message: Create README.txt
d394560 was 98changl, 8 weeks ago, message: Delete test.txt
8ec5371 was 98changl, 8 weeks ago, message: Create README.md
042a5e8 was 98changl, 8 weeks ago, message: Add files via upload
0ddb248 was 98changl, 8 weeks ago, message: Delete README.txt
e3f47d0 was 98changl, 8 weeks ago, message: Create README.txt
fdc5cae was 98changl, 8 weeks ago, message: Create test.txt
3c40976 was 98changl, 8 weeks ago, message: Create README.txt
